Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.02816901408450704,0.02952029520295203,0.026936026936026935
Logistic,0.08080808080808081,0.16161616161616163,0.05387205387205387
SVC,0.0,0.0,0.0
IsolationForest,0.06347702510658455,0.03330019880715706,0.6767676767676768
CLF,0.10628875110717448,0.07211538461538461,0.20202020202020202
KNN,0.061238691718858734,0.03859649122807018,0.14814814814814814
MLP,0.05725011731581417,0.03326063249727372,0.2053872053872054
Anomaly,0.13986510472133476,0.07817460317460317,0.6632996632996633
Likelihood,0.22091656874265572,0.16967509025270758,0.3164983164983165
